IMDb_ID,Title,Year,Genre,IMDb_Rating,Votes,Director,Main_Actors,Runtime,Plot,Poster_URL
tt10663998,Widow of the Revolution: The Anna Larina Story,2000,Documentary,10.0,28,Rosemarie Reed,"Stephen F. Cohen, Vanessa Redgrave",N/A,N/A,N/A
tt31381024,Everyday Readers,1998,Family,10.0,25,Patrick Redsell,Peter Sallis,N/A,A practical guide on ways to help young children to develop the background skills which lead them into reading. Through out the film it has actor Peter Sallis talking about all of the guide ways to get young children to develop th...,N/A
tt36745079,For Such a Time As This,2025,Documentary,10.0,21,Elgin Cahill,"Elia Gourgouris, Randy McNeely",N/A,The heart warming true story of how a moment became a Movement to change the World through Kindness. The Universe has its ways of manifesting magic at a time of its choosing. That time was 9:57 a.m. on Good Friday morning 2023 whe...,https://m.media-amazon.com/images/M/MV5BMzNiMjBiODAtNTNjMy00ZDU5LTllMzQtNTM1Yjk3ZjM2ZDc5XkEyXkFqcGc@._V1_SX300.jpg
tt13509826,FDA: Fresh Empire Campaign,2016,Reality-TV,10.0,20,Dylan Verrechia,"Jay-Z, Lenny Santiago, Dylan Verrechia",N/A,N/A,N/A
tt13561926,Victoria's Secret: Show at the Fashion Café,1998,Music,10.0,20,Dylan Verrechia,"Tyra Banks, Naomi Campbell, Christy Turlington",N/A,N/A,N/A
tt13520676,Webster Hall presents Cindy Lauper,2002,Music,10.0,17,Dylan Verrechia,"Cyndi Lauper, Dylan Verrechia, Angie Wong",45 min,N/A,N/A
tt33503920,Hu Tara Vina Kai Nai,2024,Romance,10.0,15,Dhruval Sodagar,"Umesh Barot, Rubina Belim, Kuldeep Mishra",125 min,"Hu Tara Vina Kai Nai"" revolves around a newly married couple, Parth and Priya. Eager to start their life together, they soon find themselves struggling to live under the same roof just one year into their marriage. As frustrations...",https://m.media-amazon.com/images/M/MV5BYmExZmY5YzItNmU2Yi00NmQ1LWI0ZTEtZGRmM2U5N2M0MTQyXkEyXkFqcGc@._V1_SX300.jpg
tt2385143,McTaggart's Fortune,2014,Adventure,10.0,14,Gary Ambrosia,"Kathryn Adams, Gary Ambrosia, Daniel Bridges",N/A,"Three high school students search for a lost treasure in their hometown, only to be haunted by the ghosts that protect the lost fortune.",https://m.media-amazon.com/images/M/MV5BMTQzMzc2NTY4N15BMl5BanBnXkFtZTcwMDcwODI2MQ@@._V1_SX300.jpg
tt10222148,Silenced as mercury rises,2021,Documentary,10.0,13,"Chad Murdock, Karl Andre Talbot","Mike Adams, Robert Scott Bell, Del Bigtree",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZTRjZTI1NjUtNDA1My00ZWEyLTg0NGItOGJjMWFhZWRmYWQzXkEyXkFqcGdeQXVyMjk4NDMwMjI@._V1_SX300.jpg
tt15481906,Transilvania for Sierra Leone,2021,Documentary,10.0,13,Octavian Caldarari,"Catalin Priscornita, Albert Deak, Ana Caras Petcu",N/A,"The biggest educational charity event in Sierra Leone, started by two off-road racers from Romania. After they finished the Budapest-Bamako race they gave over 5000 schoolbags donated from all over Romania to children from Africa.",https://m.media-amazon.com/images/M/MV5BNmRlNWVkYTQtZjBkYS00ZDcxLWI2NjgtYWFlMmQ1YWU5YWZmXkEyXkFqcGdeQXVyMTI4ODYyODc5._V1_SX300.jpg
tt1423343,Bob vs. Society,2009,Comedy,10.0,12,David Pring-Mill,"Rachel Bloom, Eric Chu, Walter Hoffman",90 min,"""Bob vs. Society"" chronicles a few days in the life of a misanthrope named Bob. Bob is a washed-up energy trader who now ekes out a living in New York City by working in a comic book store. Naturally, Bob's marriage with his young...",N/A
tt1427969,The Lost Spirits,2009,Documentary,10.0,12,"Charles George Barron, Eric Paul Maryea","Ben Avishai, Christopher Castellino, Eric Gieg",53 min,One Tribe. One Government. One Road. The story of how the modern day Matinecock tribe deals with its controversial past.,https://m.media-amazon.com/images/M/MV5BMTU4MzY5MzU0NV5BMl5BanBnXkFtZTgwMDg1MzA2MDE@._V1_SX300.jpg
tt27050508,Gujariya 2020,2020,Crime,10.0,12,Anshuman Singh,"Shivi Bajpai, Shubham Singh Bhadaurya, Parv Bhatia",N/A,N/A,N/A
